timestamp,player,prop_type,line_value,book,over_odds,under_odds
2026-04-01T06:20:40Z,Jalen Suggs,Assists,5.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Jalen Johnson,Assists,7.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Paolo Banchero,Assists,5.5,fanduel,126,-168
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Assists,3.5,fanduel,104,-138
2026-04-01T06:20:40Z,C.J. McCollum,Points,18.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Tristan da Silva,Points,10.5,fanduel,-104,-128
2026-04-01T06:20:40Z,Dyson Daniels,Points,11.5,fanduel,102,-136
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points,18.5,fanduel,-132,100
2026-04-01T06:20:40Z,Wendell Carter Jr,Points,10.5,fanduel,-110,-120
2026-04-01T06:20:40Z,Jalen Johnson,Points,22.5,fanduel,-130,-102
2026-04-01T06:20:40Z,Onyeka Okongwu,Points,13.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Desmond Bane,Points,20.5,fanduel,-122,-108
2026-04-01T06:20:40Z,Paolo Banchero,Points,23.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Jalen Suggs,Points,15.5,fanduel,102,-136
2026-04-01T06:20:40Z,Jonathan Kuminga,Points,9.5,fanduel,-128,-104
2026-04-01T06:20:40Z,Jock Landale,Points,8.5,fanduel,-110,-120
2026-04-01T06:20:40Z,Onyeka Okongwu,Points Assists,16.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Desmond Bane,Points Assists,25.5,fanduel,-102,-130
2026-04-01T06:20:40Z,Jalen Johnson,Points Assists,31.5,fanduel,-104,-128
2026-04-01T06:20:40Z,Paolo Banchero,Points Assists,28.5,fanduel,-122,-108
2026-04-01T06:20:40Z,Jalen Suggs,Points Assists,20.5,fanduel,-122,-108
2026-04-01T06:20:40Z,C.J. McCollum,Points Assists,22.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Dyson Daniels,Points Assists,16.5,fanduel,-108,-122
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points Assists,22.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points Rebounds,22.5,fanduel,-110,-120
2026-04-01T06:20:40Z,Jalen Suggs,Points Rebounds,19.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Dyson Daniels,Points Rebounds,17.5,fanduel,-112,-118
2026-04-01T06:20:40Z,Tristan da Silva,Points Rebounds,14.5,fanduel,-108,-122
2026-04-01T06:20:40Z,Desmond Bane,Points Rebounds,24.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Onyeka Okongwu,Points Rebounds,21.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Wendell Carter Jr,Points Rebounds,18.5,fanduel,-108,-122
2026-04-01T06:20:40Z,C.J. McCollum,Points Rebounds,21.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Paolo Banchero,Points Rebounds,31.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Jalen Johnson,Points Rebounds,32.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Jonathan Kuminga,Points Rebounds,14.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Jock Landale,Points Rebounds,12.5,fanduel,-132,100
2026-04-01T06:20:40Z,Onyeka Okongwu,Points Rebounds Assists,24.5,fanduel,-102,-130
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points Rebounds Assists,25.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Desmond Bane,Points Rebounds Assists,29.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Jalen Suggs,Points Rebounds Assists,25.5,fanduel,-102,-130
2026-04-01T06:20:40Z,C.J. McCollum,Points Rebounds Assists,25.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Jalen Johnson,Points Rebounds Assists,40.5,fanduel,-106,-125
